channel,ref
中文国际,https://www.youtube.com/watch?v=9sE12tg3CmA
鳳凰資訊,https://www.youtube.com/watch?v=sUISafvOieY
鳳凰衛視,https://www.youtube.com/watch?v=if6yQq_JJyY
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
中视新闻,https://www.youtube.com/watch?v=TCnaIE_SAtM
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
大愛一臺,https://www.youtube.com/watch?v=MIqUplvSRWA
大愛二臺,https://www.youtube.com/watch?v=DTNkEm6jaqQ
寰宇新聞,https://www.youtube.com/watch?v=B7Zp3d6xXWw
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
東森Live,https://www.youtube.com/watch?v=R2iMq5LKXco
東森財經,https://www.youtube.com/watch?v=WHEPzbFA3hw
东森财经股市,https://www.youtube.com/watch?v=LbS-xQ67fos
中天新闻1台,https://www.youtube.com/watch?v=oIgbl7t0S_w
中天新闻2台,https://www.youtube.com/watch?v=WPfPjbOLNfE
三立live,https://www.youtube.com/watch?v=FoBfXvlOR6I
三立inews,https://www.youtube.com/watch?v=CKjSm5ZeehE
三立NEWS+,https://www.youtube.com/watch?v=oZdzzvxTfUY
公視新聞網,https://www.youtube.com/watch?v=quwqlazU-c8
TVBS新聞,https://www.youtube.com/watch?v=2mCSYvcfhtc
TVBS NEWS LIVE,https://www.youtube.com/watch?v=m_dhMSvUCIc
TVBS選新聞,https://www.youtube.com/watch?v=YvdcZ_jpLXE
NHK WORLD,https://www.youtube.com/watch?v=f0lYkdA-Gtw
FRANCE 24,https://www.youtube.com/watch?v=h3MuIUNCCzI
tvOne 24Jam,https://www.youtube.com/watch?v=yNKvkPJl-tg
ANNnewsCH,https://www.youtube.com/watch?v=JAFHJmIj6bY
DW,https://www.youtube.com/watch?v=pqabxBKzZ6M
ANN News,https://www.youtube.com/watch?v=coYw-eVU0Ks
NBC NEW,https://www.youtube.com/watch?v=0IUbD_4ytuo
KOMPASTV,https://www.youtube.com/watch?v=4rmf-lk3ito
东京新宿,https://www.youtube.com/watch?v=DjdUEyjx8GM
台灣地震監視,https://www.youtube.com/watch?v=Owke6Quk7T0
Nat Geo WILD,https://www.youtube.com/watch?v=b_3qTOf-yEQ 
The Good Life Radio,https://www.youtube.com/watch?v=36YnV9STBqc
網路流行音樂電台,https://www.youtube.com/watch?v=IfNMuFqKBWs
